x,y,label
3225.162109375,2.0829057693481445,A
3779.66357421875,-122.49321746826172,A
3290.117431640625,-10.515081405639648,A
3194.561279296875,-122.33604431152344,A
3195.719970703125,83.34931945800781,A
3368.462158203125,71.72100067138672,A
2933.44921875,46.038482666015625,A
3198.912353515625,68.83234405517578,A
2793.86181640625,180.89524841308594,A
2830.898193359375,200.16366577148438,A
3367.9873046875,200.1180877685547,A
3072.544189453125,256.4214172363281,A
3816.465576171875,180.520751953125,A
3635.63818359375,394.6352233886719,A
4604.55517578125,253.41746520996094,A
3056.062744140625,255.84832763671875,A
3100.483154296875,46.35777282714844,A
2724.0595703125,-8.15438175201416,A
3703.37646484375,-124.92874145507812,A
1945.51171875,-5.057587623596191,A
2742.63671875,-48.52398681640625,A
3070.7529296875,-62.142982482910156,A
3400.685302734375,-109.54727935791016,A
2528.80078125,-42.76878356933594,A
3949.79296875,-112.42058563232422,A
3668.75146484375,-133.07322692871094,A
3880.492919921875,-312.14923095703125,A
3898.263427734375,-308.362548828125,A
4365.42333984375,-333.9721984863281,A
4829.19189453125,-428.77325439453125,A
1848.6917724609375,-835.2940673828125,A
601.1162719726562,-823.81591796875,A
-268.6197204589844,-832.2658081054688,A
-826.4135131835938,-616.7951049804688,A
-1996.8670654296875,-606.9994506835938,A
-337.4660339355469,-731.6631469726562,A
-815.3185424804688,-627.2437133789062,A
11.54694652557373,-822.4164428710938,A
-213.91372680664062,-816.2998046875,A
596.1061401367188,-778.7508544921875,A
110.14865112304688,-884.2114868164062,A
511.5626220703125,-971.854248046875,A
-562.0925903320312,-868.3638916015625,A
727.3392333984375,-834.4560546875,A
180.64173889160156,-931.71142578125,A
-34.05612564086914,-998.2590942382812,A
-226.76312255859375,-978.5745849609375,A
206.1673126220703,-952.6702880859375,A
-483.7023620605469,-1043.03173828125,A
360.0722961425781,-835.8224487304688,A
83.60481262207031,-887.539306640625,A
-179.77420043945312,-820.3875122070312,A
-1142.4710693359375,-770.6708374023438,A
-1407.635986328125,-862.9146118164062,A
-1390.738525390625,-865.3463745117188,A
-1467.874755859375,-729.3465576171875,A
-298.3586730957031,-809.8496704101562,A
-1052.5216064453125,-976.0130615234375,A
-1562.182373046875,-730.8507690429688,A
-889.9031372070312,-803.3632202148438,A
-611.6231079101562,-752.552978515625,A
-1876.4456787109375,-724.1569213867188,A
-2131.05078125,-687.4218139648438,A
-767.6054077148438,-718.8017578125,A
-1160.6771240234375,-754.1309814453125,A
-2629.1171875,-484.67083740234375,A
-1869.4661865234375,-737.9207153320312,A
-2003.64208984375,-622.940185546875,A
-1435.680419921875,-718.685302734375,A
-1072.323974609375,-732.6920166015625,A
-1564.8011474609375,-715.3170776367188,A
-1225.531982421875,-781.3099365234375,A
-808.6046752929688,-714.9413452148438,A
-1056.6646728515625,-633.1798706054688,A
-1059.4754638671875,-739.4974365234375,A
-2805.763427734375,-683.60107421875,A
-1229.9451904296875,-764.9781494140625,A
-678.1331787109375,-750.9049682617188,A
-903.5258178710938,-624.5817260742188,A
-871.6162719726562,-633.8121948242188,A
-720.748291015625,-694.3078002929688,A
-456.6231994628906,-777.011474609375,A
27.182640075683594,-791.308837890625,A
-371.7689514160156,-749.0214233398438,A
153.2790069580078,-845.5803833007812,A
-312.1888122558594,-802.9539184570312,A
-294.0706787109375,-824.2379760742188,A
24.507080078125,-783.0680541992188,A
-460.60443115234375,-761.7347412109375,A
110.74054718017578,-867.2268676757812,A
-101.9585189819336,-838.7573852539062,A
-40.97157287597656,-819.9139404296875,A
-1146.824951171875,-751.779296875,A
-1191.2720947265625,-680.3209228515625,A
-1612.9608154296875,-652.5030517578125,A
-1078.0460205078125,-699.7164306640625,A
-2449.910888671875,-660.6742553710938,A
-1188.8387451171875,-671.5656127929688,A
-1893.7216796875,-675.6888427734375,A
-1676.4351806640625,-570.373046875,A
-2196.60791015625,-618.8727416992188,A
-2792.973876953125,-634.5264282226562,A
-1987.9866943359375,-625.9742431640625,A
-2263.05517578125,-584.2241821289062,A
-1164.01171875,-593.28515625,A
-1775.926513671875,-518.41796875,A
-2290.105224609375,-521.1710815429688,A
-2597.533935546875,-580.2595825195312,A
-1319.5748291015625,-490.6573791503906,A
-1368.3323974609375,-508.4634094238281,A
-2627.045654296875,-549.8043212890625,A
-2681.032470703125,-536.9999389648438,A
-2237.2880859375,-598.7488403320312,A
5001.2392578125,-208.866455078125,A
5016.35546875,-151.93653869628906,A
4145.01806640625,-478.0586853027344,A
3769.353759765625,-614.9163208007812,A
3165.2578125,-712.8591918945312,A
3132.967529296875,-828.9375,A
1931.973388671875,-848.6869506835938,A
2326.399169921875,-790.658935546875,A
2825.515380859375,-811.2461547851562,A
3802.338134765625,-491.5643005371094,A
3885.94189453125,-525.1088256835938,A
4405.73388671875,-401.1806640625,A
4282.859375,-502.9190673828125,A
4081.84130859375,-405.7293395996094,A
3706.012939453125,-469.25115966796875,A
3945.747314453125,-595.9313354492188,A
3150.132568359375,-689.8179321289062,A
3134.2216796875,-695.623779296875,A
2202.033447265625,-797.5403442382812,A
2255.146728515625,-830.4047241210938,A
3109.80419921875,-745.3171997070312,A
2707.61376953125,-769.480224609375,A
2428.28173828125,-826.658203125,A
4141.22412109375,-556.7646484375,A
3763.90625,-661.3314819335938,A
3303.837646484375,-609.4660034179688,A
2816.78369140625,-648.27734375,A
1938.52880859375,-830.5382080078125,A
2156.07421875,-850.6571655273438,A
2905.65771484375,-601.08544921875,A
2631.206298828125,-710.0396118164062,A
3175.697021484375,-640.145751953125,A
3339.03662109375,-681.6887817382812,A
2700.87353515625,-804.4579467773438,A
3210.01513671875,-694.9329833984375,A
3384.3955078125,-788.1329956054688,A
3582.84814453125,-677.0208129882812,A
3250.478759765625,-733.978271484375,A
2344.97705078125,-785.2486572265625,A
3674.6201171875,-655.0485229492188,A
2850.798095703125,-701.2698974609375,A
1366.6846923828125,-743.7906494140625,A
1857.2579345703125,-808.3365478515625,A
1765.3800048828125,-911.5963745117188,A
1073.2088623046875,-944.7673950195312,A
1319.9637451171875,-886.2672119140625,A
2457.9677734375,-829.96923828125,A
2438.705322265625,-811.7319946289062,A
2142.640625,-859.9081420898438,A
2185.61083984375,-863.3800048828125,A
1335.044921875,-874.9290771484375,A
2228.941162109375,-873.1221313476562,A
659.1546630859375,-871.6400146484375,A
1776.277587890625,-826.4197387695312,A
1681.85693359375,-912.8434448242188,A
1418.62744140625,-932.93017578125,A
1525.0721435546875,-853.73828125,A
1712.9329833984375,-913.14892578125,A
895.2236938476562,-774.9307861328125,A
1404.426025390625,-945.9426879882812,A
1359.22216796875,-904.9110107421875,A
515.080078125,-885.6812744140625,A
1735.8927001953125,-1018.0390625,A
2129.675048828125,-934.8157958984375,A
2223.351806640625,-885.8292236328125,A
1715.6002197265625,-930.7937622070312,A
1682.857666015625,-829.5701293945312,A
2841.493408203125,-789.423583984375,A
2232.671630859375,-897.4255981445312,A
3670.63720703125,-667.8367309570312,A
2493.6357421875,-803.0567626953125,A
2744.515869140625,-796.4459228515625,A
2853.67431640625,-808.4271240234375,A
2130.801513671875,-852.5493774414062,A
871.4910278320312,-933.9224243164062,A
1400.0755615234375,-983.7951049804688,A
799.081787109375,-904.5397338867188,A
741.1260375976562,-918.5772705078125,A
662.1488037109375,-890.2405395507812,A
496.7904968261719,-875.4185180664062,A
1704.35400390625,-885.4652099609375,A
1221.223876953125,-911.2994384765625,A
1517.085205078125,-953.198486328125,A
1399.8948974609375,-932.9487915039062,A
1433.2171630859375,-930.5637817382812,A
1693.967529296875,-807.720703125,A
1681.170654296875,-864.9060668945312,A
1716.1790771484375,-895.645263671875,A
971.3743286132812,-913.7413940429688,A
1251.3262939453125,-935.5923461914062,A
1687.10107421875,-895.5151977539062,A
812.9403076171875,-911.8740234375,A
1341.74951171875,-905.220703125,A
2190.15869140625,-891.978515625,A
988.3170776367188,-915.4732666015625,A
755.59130859375,-842.2914428710938,A
2204.208740234375,-895.91162109375,A
1479.3536376953125,-958.6781616210938,A
1338.8575439453125,-922.7197265625,A
1356.8250732421875,-922.867919921875,A
-6210.90869140625,611.4091186523438,A
-6210.90869140625,594.4466552734375,A
-5642.09521484375,481.6402282714844,A
-4224.1259765625,197.99740600585938,A
-4881.5439453125,94.02122497558594,A
-4421.82568359375,-110.80735778808594,A
-4510.0400390625,-164.1747589111328,A
-5752.76708984375,-23.107206344604492,A
-6038.09423828125,36.828704833984375,A
-5763.18603515625,-34.13030242919922,A
-5732.98974609375,41.767059326171875,A
-6020.2841796875,133.64825439453125,A
-6161.1943359375,184.40802001953125,A
-6129.94140625,178.2730255126953,A
-6073.55810546875,145.17178344726562,A
-6509.6708984375,175.21304321289062,A
-7157.00048828125,282.60577392578125,A
-6643.693359375,268.0724792480469,A
-6031.2236328125,138.68600463867188,A
-6379.82373046875,169.1168975830078,A
-6039.40771484375,149.70555114746094,A
-6017.89990234375,148.3157196044922,A
-6278.9248046875,236.22361755371094,A
-6620.3388671875,283.5657653808594,A
-6566.03564453125,323.12652587890625,A
-6281.74951171875,304.5583190917969,A
-5823.0205078125,307.1344299316406,A
-6156.611328125,302.1232604980469,A
-6122.78955078125,291.1891784667969,A
-6110.400390625,265.40667724609375,A
-6016.78466796875,175.97286987304688,A
-5172.99951171875,145.4220428466797,A
-4749.62646484375,133.74655151367188,A
-3971.5712890625,1.6560637950897217,A
-3624.93017578125,-74.78722381591797,A
-3993.62646484375,-134.8717498779297,A
-3272.345703125,-273.6266174316406,A
-2473.814208984375,-422.4994812011719,A
-2527.39013671875,-374.4964294433594,A
-2305.7705078125,-387.37890625,A
-2197.337158203125,-415.5481872558594,A
-2058.139404296875,-501.0418701171875,A
-1773.775146484375,-716.4326171875,A
-1883.3004150390625,-710.9038696289062,A
-729.441162109375,-742.4710083007812,A
-1449.3756103515625,-632.3917236328125,A
-1045.2557373046875,-658.271728515625,A
-578.5601196289062,-742.9491577148438,A
-892.9869384765625,-737.5289306640625,A
-418.2601013183594,-737.8939819335938,A
-119.23112487792969,-811.509521484375,A
24.037607192993164,-700.3673095703125,A
-338.1222229003906,-716.2122192382812,A
-802.934326171875,-618.5270385742188,A
-1223.1759033203125,-479.99554443359375,A
-856.6124877929688,-427.72027587890625,A
-1252.734375,-493.2557067871094,A
-1357.4683837890625,-486.0194091796875,A
-1918.1871337890625,-506.5247802734375,A
-2844.980712890625,-417.4432373046875,A
-2646.719970703125,-374.6387634277344,A
-2540.014892578125,-388.709716796875,A
-3272.48583984375,-292.24896240234375,A
860.1551513671875,-250.2490997314453,A
-1244.21728515625,-2.0165035724639893,A
-69.44513702392578,-255.8971405029297,A
185.47161865234375,-360.4803466796875,A
-2299.606201171875,-1.27146577835083,A
-1359.1610107421875,-107.38346862792969,A
-56.46794891357422,-196.60630798339844,A
-2063.1982421875,1.5359832048416138,A
-1746.755859375,33.918601989746094,A
308.20928955078125,-170.92703247070312,A
-1977.6170654296875,79.22837829589844,A
-577.0720825195312,-75.1401596069336,A
2670.251708984375,-177.18409729003906,A
2939.311279296875,-292.0977478027344,A
2781.720703125,-149.11614990234375,A
2056.7705078125,-214.6404266357422,A
2286.541259765625,-211.9060516357422,A
2051.276611328125,-119.86874389648438,A
1402.5584716796875,15.316352844238281,A
1251.777099609375,11.738807678222656,A
1079.3790283203125,25.50160789489746,A
1392.0789794921875,30.515880584716797,A
929.6746215820312,101.15061950683594,A
970.9683837890625,147.10885620117188,A
796.3572998046875,70.17383575439453,A
964.0922241210938,31.64856719970703,A
1376.010009765625,18.765716552734375,A
1250.0263671875,-19.90338897705078,A
793.8218383789062,41.85100173950195,A
1192.85107421875,-31.428730010986328,A
903.125,-41.04322814941406,A
872.1293334960938,59.073123931884766,A
973.8798217773438,47.999359130859375,A
955.003173828125,48.18423080444336,A
1090.3287353515625,-56.289432525634766,A
613.3875732421875,35.81648254394531,A
429.3981018066406,-29.797414779663086,A
690.2310180664062,-98.72572326660156,A
813.3681030273438,-210.5498809814453,A
-333.7470703125,-357.9595031738281,A
838.3015747070312,-475.19256591796875,A
1273.654296875,-481.1634216308594,A
1280.5560302734375,-494.70855712890625,A
-3426.586181640625,151.30126953125,A
-2498.80810546875,149.9159698486328,A
-2079.550048828125,-60.438072204589844,A
-3337.29931640625,218.231689453125,A
-1983.1265869140625,-139.43072509765625,A
-3271.2119140625,162.6124725341797,A
-3213.8095703125,-39.09343719482422,A
-3751.59130859375,184.32022094726562,A
-2137.567138671875,-32.60801315307617,A
324.86810302734375,-175.51531982421875,A
-151.81492614746094,-84.8162612915039,A
305.0414733886719,-220.50619506835938,A
838.8575439453125,-228.03651428222656,A
826.2445678710938,-243.76002502441406,A
1418.7864990234375,-259.531494140625,A
1693.892333984375,-204.38748168945312,A
2007.8956298828125,-279.8138122558594,A
1725.837646484375,-313.20611572265625,A
1778.4110107421875,-253.0350341796875,A
2329.807861328125,-336.6649475097656,A
2271.921875,-262.4372253417969,A
2152.4609375,-201.22909545898438,A
1736.18896484375,-216.37501525878906,A
814.7327270507812,-101.13662719726562,A
1303.5916748046875,-214.91317749023438,A
1642.7589111328125,-164.6519317626953,A
2184.66015625,-131.99366760253906,A
1317.961181640625,-217.7125701904297,A
1994.838134765625,-221.52024841308594,A
1565.8167724609375,-238.27981567382812,A
1354.651123046875,-225.3406219482422,A
1782.3624267578125,-225.3236846923828,A
1799.4996337890625,-194.1562042236328,A
2556.272216796875,-313.89422607421875,A
1697.5194091796875,-220.18589782714844,A
1438.69384765625,-266.0809326171875,A
1167.6710205078125,-192.1368865966797,A
1451.5028076171875,-256.7156677246094,A
1183.62255859375,-213.98162841796875,A
1301.6644287109375,-259.6432189941406,A
1185.17626953125,-178.16221618652344,A
994.0074462890625,-176.42303466796875,A
839.0262451171875,-181.5094757080078,A
1007.2737426757812,-131.9758758544922,A
855.6573486328125,-174.33399963378906,A
289.4529113769531,-232.15846252441406,A
815.857177734375,-194.90760803222656,A
574.7866821289062,-178.10914611816406,A
1121.9969482421875,-219.20547485351562,A
443.8741149902344,-239.8599853515625,A
630.4190063476562,-160.79417419433594,A
303.3970947265625,-237.6400146484375,A
554.2302856445312,-303.9194030761719,A
688.682861328125,-348.8333740234375,A
369.38946533203125,-251.69735717773438,A
844.9607543945312,-261.51629638671875,A
1159.63525390625,-383.2603454589844,A
-4.603771686553955,-830.1227416992188,A
-823.626953125,-639.6240234375,A
-807.1611938476562,-641.2506103515625,A
-1074.6240234375,-631.0084838867188,A
-573.0205078125,-585.5673217773438,A
-45.897151947021484,-601.6070556640625,A
-82.5597152709961,-716.2409057617188,A
-721.2493286132812,-729.450927734375,A
-1183.0970458984375,-649.9925537109375,A
-748.7156372070312,-738.778564453125,A
-244.8348388671875,-556.5942993164062,A
144.0835723876953,-775.5787963867188,A
-1272.61474609375,-581.4074096679688,A
-1421.4031982421875,-719.676025390625,A
-891.8069458007812,-679.8070678710938,A
-1491.043701171875,-598.3212890625,A
-1063.0211181640625,-662.9574584960938,A
-8.534263610839844,-714.23095703125,A
-638.8742065429688,-595.9835815429688,A
-1177.9652099609375,-531.56494140625,A
-1194.315185546875,-630.2840576171875,A
-912.2771606445312,-546.9321899414062,A
-632.64306640625,-619.716796875,A
-1287.87060546875,-569.735107421875,A
-1801.5404052734375,-529.6942749023438,A
-1412.4503173828125,-507.6641845703125,A
-1769.07568359375,-366.8215637207031,A
-2205.856201171875,-401.3668212890625,A
-2693.364990234375,-332.95806884765625,A
-2165.166015625,-356.6827392578125,A
-2476.498291015625,-308.7849426269531,A
-3683.84814453125,-188.01284790039062,A
-1940.0770263671875,-387.16729736328125,A
-1942.379638671875,-401.6556091308594,A
-2592.568359375,-214.3975067138672,A
-2458.736572265625,-189.2592010498047,A
